smiles,value
*c1cc(F)c(c2c(O)cc(O)c(*)c2O)cc1F,1.80801742833961
*c1cc(F)c(c2c(O)cc(O)c(*)c2O)cc1F,1.76106167287046
*c1cc(F)c(c2c(O)cc(O)c(*)c2O)cc1F,1.81726664526935
*c1cc(F)c(c2cc(F)c(*)cc2C#N)cc1F,2.63511606412254
*c1cc(F)c(c2cc(F)c(*)cc2C#N)cc1F,2.60889852609702
*c1cc(F)c(c2cc(F)c(*)cc2C#N)cc1F,2.62604029587563
*c1cc(F)c(c2c(C)c(Cl)cc(*)c2N)cc1F,1.45493962372201
*c1cc(F)c(c2c(C)c(Cl)cc(*)c2N)cc1F,1.43492077422461
*c1cc(F)c(c2c(C)c(Cl)cc(*)c2N)cc1F,1.44847970470387
*c1ccc(OCC(=O)Cl)c(c2cc(F)c(*)cc2F)c1,2.06612573115032
*c1ccc(OCC(=O)Cl)c(c2cc(F)c(*)cc2F)c1,2.03128877432318
*c1ccc(OCC(=O)Cl)c(c2cc(F)c(*)cc2F)c1,2.02103318402028
*c1cc(F)c(c2cc(*)c(C(=O)OC)nc2N)cc1F,1.7575420599832
*c1cc(F)c(c2cc(*)c(C(=O)OC)nc2N)cc1F,1.76105641686016
*c1cc(F)c(c2cc(*)c(C(=O)OC)nc2N)cc1F,1.75612358737746
*c1cc(F)c(c2nc(*)c3ccccc3n2)cc1F,2.31404896865313
*c1cc(F)c(c2nc(*)c3ccccc3n2)cc1F,2.21028162980967
*c1cc(F)c(c2nc(*)c3ccccc3n2)cc1F,2.27380892104177
*c1cc(F)c(c2cc(*)c(C=O)c(F)c2)cc1F,2.56740032217854
*c1cc(F)c(c2cc(*)c(C=O)c(F)c2)cc1F,2.56600782248147
*c1cc(F)c(c2cc(*)c(C=O)c(F)c2)cc1F,2.56478393066948
*c1cc(F)c(c2cc(Cl)c(*)cc2C)cc1F,2.40487821791371
*c1cc(F)c(c2cc(Cl)c(*)cc2C)cc1F,2.40613711264349
*c1cc(F)c(c2cc(Cl)c(*)cc2C)cc1F,2.41262461975843
*c1cc(F)c(c2ccc(*)c(C(=O)OC)n2)cc1F,2.47609959709459
*c1cc(F)c(c2ccc(*)c(C(=O)OC)n2)cc1F,2.48834814422144
*c1cc(F)c(c2ccc(*)c(C(=O)OC)n2)cc1F,2.4746110384185
*c1ccc2c3ccc(c4cc(F)c(*)cc4F)cc3n(-c3ccccc3)c2c1,1.34812295050307
*c1ccc2c3ccc(c4cc(F)c(*)cc4F)cc3n(-c3ccccc3)c2c1,1.23347096354128
*c1ccc2c3ccc(c4cc(F)c(*)cc4F)cc3n(-c3ccccc3)c2c1,1.30657002046741
*c1cnc(c2cc(F)c(*)cc2F)c(C(=O)OCC)n1,2.42685599612993
*c1cnc(c2cc(F)c(*)cc2F)c(C(=O)OCC)n1,2.40395788888142
*c1cnc(c2cc(F)c(*)cc2F)c(C(=O)OCC)n1,2.41954030614778
